id,screen_size,cpu,ram,memory,gpu
Dell_30,small,intel,large,SSD,Intel
Samsung_4,medium,intel,medium,SSD,Intel
Samsung_5,medium,intel,large,SSD,AMD
HP_34,small,intel,small,SSD,Intel
Apple_6,small,intel,medium,flash,Intel
HP_35,medium,amd,medium,HDD,AMD
HP_36,large,intel,medium,HDD,AMD
Razer_3,small,intel,large,SSD,Intel
HP_37,small,intel,small,flash,Intel
Lenovo_31,medium,intel,medium,flash,Intel
Dell_31,large,intel,medium,HDD,AMD
Lenovo_32,medium,intel,small,HDD,AMD
Samsung_6,medium,intel,large,SSD,Nvidia
Dell_32,medium,intel,small,SSD + HDD,Nvidia
Lenovo_33,large,amd,small,HDD,AMD
LG_2,medium,intel,large,SSD,Intel
Lenovo_34,medium,intel,small,SSD,Nvidia
HP_38,small,intel,small,HDD,Intel
Lenovo_35,medium,amd,large,SSD + HDD,AMD
Dell_33,large,intel,small,HDD,AMD
Asus_29,small,intel,medium,flash,Intel
Acer_21,medium,intel,medium,SSD + HDD,Nvidia
Toshiba_9,small,intel,medium,SSD,Intel
Fujitsu_3,medium,intel,small,SSD,Intel
HP_39,medium,intel,small,SSD + HDD,AMD
Lenovo_36,large,intel,large,SSD,Nvidia
HP_40,medium,intel,medium,SSD + HDD,Intel
Asus_30,large,intel,large,HDD,Nvidia
Lenovo_37,large,intel,medium,HDD,AMD
Razer_4,small,intel,medium,SSD,Intel
Lenovo_38,medium,intel,medium,HDD,AMD
MSI_7,medium,intel,medium,HDD,Nvidia
HP_41,medium,intel,small,HDD,Nvidia
Acer_22,large,intel,medium,HDD,Nvidia
Lenovo_39,large,intel,medium,HDD,Intel
Apple_7,small,intel,small,flash,Intel
