id,company,cpu,ram,memory,gpu
134,Microsoft,intel,16,SSD,Intel
135,Asus,intel,8,HDD,Intel
136,HP,intel,12,HDD,Nvidia
137,Lenovo,intel,12,SSD,Intel
138,Google,intel,8,SSD,Intel
139,Asus,intel,12,SSD + HDD,Intel
140,Toshiba,intel,32,SSD,Intel
141,Acer,amd,8,HDD,AMD
142,Asus,intel,24,SSD + HDD,Nvidia
143,Xiaomi,intel,16,SSD,Nvidia
144,Asus,intel,24,SSD,Nvidia
145,Toshiba,intel,8,HDD,Intel
146,Mediacom,intel,4,flash,Intel
147,HP,amd,6,SSD,AMD
148,Fujitsu,intel,8,HDD,Intel
149,Lenovo,intel,32,SSD + HDD,Nvidia
150,Dell,intel,4,flash,Intel
151,Lenovo,intel,12,HDD,Intel
152,Lenovo,amd,12,SSD,AMD
153,Samsung,intel,16,SSD + HDD,Nvidia
154,Lenovo,intel,6,HDD,Intel
155,Lenovo,intel,32,SSD,Nvidia
156,Dell,intel,16,HDD,Nvidia
157,Fujitsu,intel,8,SSD,Intel
158,Mediacom,intel,2,flash,Intel
159,Asus,intel,6,HDD,Intel
160,HP,amd,8,HDD,AMD
161,Razer,intel,16,SSD,Nvidia
162,Asus,intel,32,SSD,Nvidia
163,Dell,intel,32,SSD + HDD,Nvidia
164,Toshiba,intel,4,SSD,Intel
165,HP,intel,4,SSD,Nvidia
166,HP,intel,8,flash,Intel
167,LG,intel,8,SSD,Intel
168,Acer,intel,16,SSD,Nvidia
169,HP,intel,4,SSD,AMD
170,HP,amd,6,HDD,AMD
171,Mediacom,intel,4,HDD,Intel
172,Acer,intel,16,SSD + HDD,Nvidia
173,HP,amd,6,SSD + HDD,AMD
174,Acer,intel,2,flash,Intel
175,Samsung,intel,16,SSD,Intel
176,Samsung,intel,8,SSD,Intel
177,Samsung,intel,16,SSD,AMD
178,HP,intel,12,HDD,AMD
179,Razer,intel,16,SSD,Intel
180,HP,intel,4,flash,Intel
181,Lenovo,intel,8,flash,Intel
182,Lenovo,intel,4,HDD,AMD
183,Samsung,intel,16,SSD,Nvidia
184,Dell,intel,4,SSD + HDD,Nvidia
185,LG,intel,16,SSD,Intel
186,Lenovo,intel,6,SSD,Nvidia
187,Lenovo,amd,16,SSD + HDD,AMD
188,Asus,intel,8,flash,Intel
189,Acer,intel,12,SSD + HDD,Nvidia
190,HP,intel,6,HDD,Intel
191,Dell,intel,12,SSD,Intel
192,Lenovo,amd,6,SSD,AMD
193,Fujitsu,intel,4,SSD,Intel
