id,company,cpu,ram,memory,gpu
Apple_1,Apple,intel,8,SSD,Intel
Apple_2,Apple,intel,8,flash,Intel
HP_1,HP,intel,8,SSD,Intel
Apple_3,Apple,intel,16,SSD,AMD
Acer_1,Acer,amd,4,HDD,AMD
Apple_4,Apple,intel,16,flash,Intel
Asus_1,Asus,intel,16,SSD,Nvidia
Acer_2,Acer,intel,8,SSD,Intel
HP_2,HP,intel,4,HDD,Intel
Dell_1,Dell,intel,4,SSD,AMD
Dell_2,Dell,intel,8,SSD,AMD
Lenovo_1,Lenovo,intel,8,HDD,Nvidia
Dell_3,Dell,intel,8,SSD,Intel
Asus_2,Asus,intel,2,flash,Intel
Lenovo_2,Lenovo,intel,8,SSD + HDD,Nvidia
HP_3,HP,amd,4,HDD,AMD
Dell_4,Dell,intel,4,HDD,Intel
HP_4,HP,intel,8,HDD,Nvidia
Chuwi_1,Chuwi,intel,4,flash,Intel
Asus_3,Asus,amd,2,flash,AMD
Dell_5,Dell,intel,16,SSD,Intel
Lenovo_3,Lenovo,intel,4,flash,Intel
Acer_3,Acer,intel,4,HDD,Intel
Dell_6,Dell,intel,8,SSD + HDD,AMD
HP_5,HP,intel,8,SSD,Nvidia
Asus_4,Asus,intel,4,HDD,Intel
Dell_7,Dell,intel,16,SSD + HDD,Nvidia
Asus_5,Asus,intel,8,HDD,Nvidia
Acer_4,Acer,intel,4,SSD,Intel
Dell_8,Dell,intel,12,HDD,Nvidia
Lenovo_4,Lenovo,intel,4,SSD,Intel
Asus_6,Asus,amd,8,SSD + HDD,AMD
Asus_7,Asus,intel,4,HDD,Nvidia
Acer_5,Acer,intel,8,SSD,Nvidia
HP_6,HP,amd,4,SSD,AMD
HP_7,HP,intel,4,SSD,Intel
Asus_8,Asus,intel,4,SSD,Intel
MSI_1,MSI,intel,16,SSD + HDD,Nvidia
Dell_9,Dell,intel,16,SSD + HDD,AMD
Lenovo_5,Lenovo,intel,8,SSD,Intel
Asus_9,Asus,intel,8,SSD,Intel
HP_8,HP,intel,4,HDD,AMD
Lenovo_6,Lenovo,intel,4,HDD,Intel
Asus_10,Asus,intel,12,HDD,Nvidia
Microsoft_1,Microsoft,intel,4,SSD,Intel
MSI_2,MSI,intel,8,SSD + HDD,Nvidia
Acer_6,Acer,intel,8,HDD,Intel
Lenovo_7,Lenovo,intel,8,HDD,Intel
Dell_10,Dell,intel,8,SSD + HDD,Intel
Acer_7,Acer,intel,4,HDD,Nvidia
HP_9,HP,intel,8,SSD + HDD,Nvidia
Lenovo_8,Lenovo,amd,4,SSD,AMD
Asus_11,Asus,intel,16,SSD + HDD,Nvidia
Asus_12,Asus,amd,8,HDD,AMD
Acer_8,Acer,intel,8,HDD,Nvidia
HP_10,HP,intel,16,SSD,Intel
Dell_11,Dell,intel,8,SSD,Nvidia
Dell_12,Dell,intel,8,HDD,AMD
Asus_13,Asus,intel,6,SSD,Nvidia
HP_11,HP,intel,12,SSD + HDD,Nvidia
HP_12,HP,intel,8,SSD,AMD
Microsoft_2,Microsoft,intel,8,SSD,Intel
HP_13,HP,intel,6,SSD,Nvidia
Asus_14,Asus,intel,8,SSD,Nvidia
Dell_13,Dell,intel,8,SSD + HDD,Nvidia
Acer_9,Acer,intel,6,HDD,Intel
Lenovo_9,Lenovo,intel,8,SSD,Nvidia
HP_14,HP,intel,16,SSD,Nvidia
Acer_10,Acer,amd,4,SSD,AMD
HP_15,HP,intel,8,HDD,Intel
Asus_15,Asus,amd,4,SSD,AMD
Dell_14,Dell,intel,4,HDD,AMD
Acer_11,Acer,intel,4,SSD,Nvidia
Asus_16,Asus,intel,8,SSD + HDD,Nvidia
Lenovo_10,Lenovo,intel,4,HDD,Nvidia
Lenovo_11,Lenovo,intel,8,SSD,AMD
Toshiba_1,Toshiba,intel,4,HDD,Intel
Dell_15,Dell,intel,16,SSD,Nvidia
HP_16,HP,intel,6,SSD,AMD
Asus_17,Asus,amd,4,HDD,AMD
